target_name,category,target_query,uniprot_id,full_ncbi_query,retmax,ncbi_hits_reported,hit_count_capped_at_retmax,patent_intermediate_rows,final_master_rows,unique_patents_final,unique_accessions_final,manual_ncbi_url,google_patents_query,google_patents_url,uspto_manual_query,manual_validation_status
PD-1,Checkpoint,anti-PD-1 OR anti-PDCD1 OR nivolumab OR pembrolizumab OR cemiplimab,Q15116,"(anti-PD-1 OR anti-PDCD1 OR nivolumab OR pembrolizumab OR cemiplimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,137,112,6,112,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-PD-1+OR+anti-PDCD1+OR+nivolumab+OR+pembrolizumab+OR+cemiplimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-PD-1 OR anti-PDCD1 OR nivolumab OR pembrolizumab OR cemiplimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-PD-1+OR+anti-PDCD1+OR+nivolumab+OR+pembrolizumab+OR+cemiplimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""PD-1"" antibody variable region",not_started
PD-L1,Checkpoint,anti-PD-L1 OR anti-CD274 OR atezolizumab OR durvalumab OR avelumab,Q9NZQ7,"(anti-PD-L1 OR anti-CD274 OR atezolizumab OR durvalumab OR avelumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,63,45,3,45,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-PD-L1+OR+anti-CD274+OR+atezolizumab+OR+durvalumab+OR+avelumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-PD-L1 OR anti-CD274 OR atezolizumab OR durvalumab OR avelumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-PD-L1+OR+anti-CD274+OR+atezolizumab+OR+durvalumab+OR+avelumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""PD-L1"" antibody variable region",not_started
CTLA-4,Checkpoint,anti-CTLA-4 OR anti-CTLA4 OR ipilimumab OR tremelimumab,P16410,"(anti-CTLA-4 OR anti-CTLA4 OR ipilimumab OR tremelimumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,137,102,3,102,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CTLA-4+OR+anti-CTLA4+OR+ipilimumab+OR+tremelimumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CTLA-4 OR anti-CTLA4 OR ipilimumab OR tremelimumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CTLA-4+OR+anti-CTLA4+OR+ipilimumab+OR+tremelimumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CTLA-4"" antibody variable region",not_started
TIGIT,Checkpoint,anti-TIGIT OR tiragolumab OR vibostolimab OR domvanalimab,Q495A1,"(anti-TIGIT OR tiragolumab OR vibostolimab OR domvanalimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,179,116,1,116,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-TIGIT+OR+tiragolumab+OR+vibostolimab+OR+domvanalimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-TIGIT OR tiragolumab OR vibostolimab OR domvanalimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-TIGIT+OR+tiragolumab+OR+vibostolimab+OR+domvanalimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""TIGIT"" antibody variable region",not_started
LAG-3,Checkpoint,anti-LAG-3 OR anti-LAG3 OR relatlimab OR favezelimab,P18627,"(anti-LAG-3 OR anti-LAG3 OR relatlimab OR favezelimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,97,86,7,86,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-LAG-3+OR+anti-LAG3+OR+relatlimab+OR+favezelimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-LAG-3 OR anti-LAG3 OR relatlimab OR favezelimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-LAG-3+OR+anti-LAG3+OR+relatlimab+OR+favezelimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""LAG-3"" antibody variable region",not_started
TIM-3,Checkpoint,anti-TIM-3 OR anti-TIM3 OR anti-HAVCR2 OR cobolimab OR sabatolimab,Q8TDQ0,"(anti-TIM-3 OR anti-TIM3 OR anti-HAVCR2 OR cobolimab OR sabatolimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,193,no,103,42,3,42,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-TIM-3+OR+anti-TIM3+OR+anti-HAVCR2+OR+cobolimab+OR+sabatolimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-TIM-3 OR anti-TIM3 OR anti-HAVCR2 OR cobolimab OR sabatolimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-TIM-3+OR+anti-TIM3+OR+anti-HAVCR2+OR+cobolimab+OR+sabatolimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""TIM-3"" antibody variable region",not_started
VISTA,Checkpoint,anti-VISTA OR anti-VSIR OR anti-B7-H5,Q9H7M9,"(anti-VISTA OR anti-VSIR OR anti-B7-H5) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,46,no,18,18,1,18,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-VISTA+OR+anti-VSIR+OR+anti-B7-H5%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-VISTA OR anti-VSIR OR anti-B7-H5) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-VISTA+OR+anti-VSIR+OR+anti-B7-H5%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""VISTA"" antibody variable region",not_started
BTLA,Checkpoint,anti-BTLA OR anti-CD272,Q7Z6A9,"(anti-BTLA OR anti-CD272) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,0,no,0,0,0,0,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-BTLA+OR+anti-CD272%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-BTLA OR anti-CD272) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-BTLA+OR+anti-CD272%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""BTLA"" antibody variable region",not_started
CD47,Checkpoint,anti-CD47 OR magrolimab OR lemzoparlimab,Q08722,"(anti-CD47 OR magrolimab OR lemzoparlimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,97,83,5,83,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD47+OR+magrolimab+OR+lemzoparlimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD47 OR magrolimab OR lemzoparlimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD47+OR+magrolimab+OR+lemzoparlimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD47"" antibody variable region",not_started
SIRPa,Checkpoint,anti-SIRPa OR anti-SIRPA OR anti-CD172a,P78324,"(anti-SIRPa OR anti-SIRPA OR anti-CD172a) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,0,no,0,0,0,0,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-SIRPa+OR+anti-SIRPA+OR+anti-CD172a%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-SIRPa OR anti-SIRPA OR anti-CD172a) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-SIRPa+OR+anti-SIRPA+OR+anti-CD172a%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""SIRPa"" antibody variable region",not_started
HER2,Oncology,anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab,P04626,"(anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,129,89,10,89,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-HER2+OR+anti-ERBB2+OR+trastuzumab+OR+pertuzumab+OR+margetuximab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-HER2 OR anti-ERBB2 OR trastuzumab OR pertuzumab OR margetuximab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-HER2+OR+anti-ERBB2+OR+trastuzumab+OR+pertuzumab+OR+margetuximab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""HER2"" antibody variable region",not_started
EGFR,Oncology,anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab,P00533,"(anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,98,76,9,76,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-EGFR+OR+anti-ERBB1+OR+cetuximab+OR+panitumumab+OR+necitumumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-EGFR OR anti-ERBB1 OR cetuximab OR panitumumab OR necitumumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-EGFR+OR+anti-ERBB1+OR+cetuximab+OR+panitumumab+OR+necitumumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""EGFR"" antibody variable region",not_started
HER3,Oncology,anti-HER3 OR anti-ERBB3 OR patritumab,P21860,"(anti-HER3 OR anti-ERBB3 OR patritumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,52,45,6,45,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-HER3+OR+anti-ERBB3+OR+patritumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-HER3 OR anti-ERBB3 OR patritumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-HER3+OR+anti-ERBB3+OR+patritumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""HER3"" antibody variable region",not_started
CD20,Oncology,anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab,P11836,"(anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,99,75,11,75,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD20+OR+anti-MS4A1+OR+rituximab+OR+obinutuzumab+OR+ofatumumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD20 OR anti-MS4A1 OR rituximab OR obinutuzumab OR ofatumumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD20+OR+anti-MS4A1+OR+rituximab+OR+obinutuzumab+OR+ofatumumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD20"" antibody variable region",not_started
CD19,Oncology,anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab,P15391,"(anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,105,84,8,84,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD19+OR+blinatumomab+OR+loncastuximab+OR+tafasitamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD19 OR blinatumomab OR loncastuximab OR tafasitamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD19+OR+blinatumomab+OR+loncastuximab+OR+tafasitamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD19"" antibody variable region",not_started
CD3,Oncology,anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab,P07766,"(anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,60,35,5,35,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD3+OR+anti-CD3E+OR+blinatumomab+OR+teplizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD3 OR anti-CD3E OR blinatumomab OR teplizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD3+OR+anti-CD3E+OR+blinatumomab+OR+teplizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD3"" antibody variable region",not_started
CD38,Oncology,anti-CD38 OR daratumumab OR isatuximab OR mezagitamab,P28907,"(anti-CD38 OR daratumumab OR isatuximab OR mezagitamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,178,no,103,56,6,56,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD38+OR+daratumumab+OR+isatuximab+OR+mezagitamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD38 OR daratumumab OR isatuximab OR mezagitamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD38+OR+daratumumab+OR+isatuximab+OR+mezagitamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD38"" antibody variable region",not_started
BCMA,Oncology,anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab,Q02223,"(anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,119,118,5,118,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-BCMA+OR+anti-TNFRSF17+OR+teclistamab+OR+elranatamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-BCMA OR anti-TNFRSF17 OR teclistamab OR elranatamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-BCMA+OR+anti-TNFRSF17+OR+teclistamab+OR+elranatamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""BCMA"" antibody variable region",not_started
GPRC5D,Oncology,anti-GPRC5D OR talquetamab,Q9NZD1,"(anti-GPRC5D OR talquetamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,2,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-GPRC5D+OR+talquetamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-GPRC5D OR talquetamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-GPRC5D+OR+talquetamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""GPRC5D"" antibody variable region",not_started
FcRH5,Oncology,anti-FcRH5 OR anti-FCRL5 OR cevostamab,Q96RD9,"(anti-FcRH5 OR anti-FCRL5 OR cevostamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,0,no,0,0,0,0,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-FcRH5+OR+anti-FCRL5+OR+cevostamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-FcRH5 OR anti-FCRL5 OR cevostamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-FcRH5+OR+anti-FCRL5+OR+cevostamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""FcRH5"" antibody variable region",not_started
CD33,Oncology,anti-CD33 OR gemtuzumab,P20138,"(anti-CD33 OR gemtuzumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,32,no,25,24,4,24,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CD33+OR+gemtuzumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CD33 OR gemtuzumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CD33+OR+gemtuzumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CD33"" antibody variable region",not_started
